position_at,latitude,longitude,address
2020-06-10 21:38:54+00,36.0883933333333,-79.7946666666667,"513 West Wendover Avenue, Greensboro, NC 27408"
2020-06-10 21:39:23+00,36.0887177777778,-79.7992444444445,"898 West Wendover Avenue, Greensboro, NC 27408"
2020-06-10 21:39:31+00,36.0887,-79.7994488888889,"898 West Wendover Avenue, Greensboro, NC 27408"
2020-06-10 21:39:44+00,36.0887222222222,-79.8007822222222,"1100-1102 Grayland St, Greensboro, NC 27408, USA"
2020-06-10 21:39:46+00,36.0888511111111,-79.8008088888889,"1100-1102 Grayland St, Greensboro, NC 27408, USA"
2020-06-10 21:40:34+00,36.0905266666667,-79.8007022222222,"1201-1203 Grayland St, Greensboro, NC 27408, USA"
2020-06-11 05:40:34+00,36.0905266666667,-79.8007022222222,"1201-1203 Grayland St, Greensboro, NC 27408, USA"
2020-06-11 12:37:38+00,36.0904577777778,-79.80072,"1201-1203 Grayland St, Greensboro, NC 27408, USA"
2020-06-11 12:37:38+00,36.0904577777778,-79.80072,"1201-1203 Grayland St, Greensboro, NC 27408, USA"
2020-06-11 17:24:38+00,36.0905422222222,-79.8007911111111,"1201-1203 Grayland St, Greensboro, NC 27408, USA"
2020-06-11 19:30:25+00,36.0923955555556,-79.8005244444444,"999 Hammel Road, Greensboro, NC 27408"
2020-06-11 19:30:28+00,36.0924488888889,-79.8004533333333,"999 Hammel Road, Greensboro, NC 27408"
2020-06-11 19:30:30+00,36.0924644444444,-79.8003288888889,"999 Hammel Road, Greensboro, NC 27408"
2020-06-11 19:30:40+00,36.0923644444444,-79.7994044444444,"898 Hammel Road, Greensboro, NC 27408"
2020-06-11 19:30:42+00,36.0922733333333,-79.7993511111111,"1298 Hill Street, Greensboro, NC 27408"
2020-06-11 19:31:12+00,36.0896977777778,-79.7995644444444,"1162 Hill Street, Greensboro, NC 27408"
2020-06-11 19:31:42+00,36.0862688888889,-79.79984,"978 Hill Street, Greensboro, NC 27408"
2020-06-11 19:32:12+00,36.0822,-79.7999911111111,"826 Hill Street, Greensboro, NC 27408"
2020-06-11 19:32:23+00,36.0810822222222,-79.8000266666667,"Greensboro, NC 27408"
2020-06-11 19:32:35+00,36.0806688888889,-79.8003644444444,"1008 Battleground Avenue, Greensboro, NC 27401"
2020-06-11 19:32:47+00,36.0800444444444,-79.8010311111111,"Hill St, Greensboro, NC 27401, USA"
2020-06-11 19:32:49+00,36.0799288888889,-79.8009955555556,"957 West Smith Street, Greensboro, NC 27401"
2020-06-11 19:32:57+00,36.0792244444444,-79.8003288888889,"901-955 W Smith St, Greensboro, NC 27401, USA"
2020-06-11 19:33:14+00,36.0783311111111,-79.7977866666667,"491 North Cedar Street, Greensboro, NC 27401"
2020-06-11 19:33:38+00,36.0782888888889,-79.7953866666667,"500 N Edgeworth St, Greensboro, NC 27401, USA"
2020-06-11 19:34:08+00,36.0784911111111,-79.7920355555556,"292 West Smith Street, Greensboro, NC 27401"
2020-06-11 19:34:27+00,36.0788622222222,-79.7897155555556,"503 N Elm St, Greensboro, NC 27401, USA"
2020-06-11 19:34:29+00,36.0790022222222,-79.78968,"519 North Elm Street, Greensboro, NC 27401"
2020-06-11 19:34:59+00,36.0804222222222,-79.7896177777778,"655 North Elm Street, Greensboro, NC 27401"
2020-06-11 19:35:29+00,36.0847177777778,-79.78928,"899 North Elm Street, Greensboro, NC 27401"
2020-06-11 19:35:41+00,36.0860711111111,-79.7891733333333,"103 East Bessemer Avenue, Greensboro, NC 27401"
2020-06-11 19:35:43+00,36.0860933333333,-79.7890755555556,"103 East Bessemer Avenue, Greensboro, NC 27401"
2020-06-11 19:36:39+00,36.0862377777778,-79.7887377777778,"123 East Bessemer Avenue, Greensboro, NC 27401"
2020-06-11 21:52:20+00,36.0860644444444,-79.7887111111111,"149 East Bessemer Avenue, Greensboro, NC 27401"
2020-06-11 21:52:22+00,36.0860488888889,-79.7888355555556,"149 East Bessemer Avenue, Greensboro, NC 27401"
2020-06-11 21:53:02+00,36.08604,-79.7890577777778,"103 East Bessemer Avenue, Greensboro, NC 27401"
2020-06-11 21:53:22+00,36.0860933333333,-79.7891111111111,"103 East Bessemer Avenue, Greensboro, NC 27401"
2020-06-11 21:53:52+00,36.0862622222222,-79.7933155555556,"318 W Bessemer Ave, Greensboro, NC 27401, USA"
2020-06-11 21:53:55+00,36.08638,-79.7935644444444,"399 Parkway Avenue, Greensboro, NC 27401"
2020-06-11 21:54:04+00,36.0872733333333,-79.7942844444444,"444-480 Parkway Ave, Greensboro, NC 27401, USA"
2020-06-11 21:54:08+00,36.0877377777778,-79.7944444444445,"908 Cridland Rd, Greensboro, NC 27408, USA"
2020-06-11 21:54:34+00,36.08794,-79.7944177777778,"908 Cridland Rd, Greensboro, NC 27408, USA"
2020-06-11 21:55:06+00,36.0880044444444,-79.79432,"495 West Wendover Avenue, Greensboro, NC 27408"
2020-06-11 21:55:10+00,36.0882644444444,-79.79432,"495 West Wendover Avenue, Greensboro, NC 27408"
2020-06-11 21:55:12+00,36.0883711111111,-79.7944533333333,"510 West Wendover Avenue, Greensboro, NC 27408"
2020-06-11 21:55:14+00,36.0884177777778,-79.79472,"513 West Wendover Avenue, Greensboro, NC 27408"
2020-06-11 21:55:44+00,36.0887155555556,-79.80064,"1100-1102 Grayland St, Greensboro, NC 27408, USA"
2020-06-11 21:55:46+00,36.0887444444444,-79.8008177777778,"1100-1102 Grayland St, Greensboro, NC 27408, USA"
2020-06-11 21:55:48+00,36.0888644444444,-79.8008533333333,"1100-1102 Grayland St, Greensboro, NC 27408, USA"
2020-06-11 21:56:50+00,36.0905488888889,-79.8007644444444,"1201-1203 Grayland St, Greensboro, NC 27408, USA"
2020-06-12 11:41:08+00,36.0903933333333,-79.8006488888889,"1118-1198 Grayland St, Greensboro, NC 27408, USA"
2020-06-12 11:41:10+00,36.0903666666667,-79.8005066666667,"992 West Northwood Street, Greensboro, NC 27408"
2020-06-12 11:41:19+00,36.0902866666667,-79.7995822222222,"908 West Northwood Street, Greensboro, NC 27408"
2020-06-12 11:41:21+00,36.0902066666667,-79.7995022222222,"1198 Hill Street, Greensboro, NC 27408"
2020-06-12 11:41:23+00,36.0900533333333,-79.7995022222222,"1188 Hill Street, Greensboro, NC 27408"
2020-06-12 11:41:56+00,36.0887755555556,-79.7996533333333,"1103 Hill Street, Greensboro, NC 27408"
2020-06-12 11:43:29+00,36.0886355555556,-79.7995733333333,"1101 Hill St, Greensboro, NC 27408, USA"
2020-06-12 11:43:31+00,36.0885511111111,-79.7995822222222,"1101 Hill St, Greensboro, NC 27408, USA"
2020-06-12 11:43:33+00,36.0884555555556,-79.7995111111111,"896 West Wendover Avenue, Greensboro, NC 27408"
2020-06-12 11:43:35+00,36.0884133333333,-79.7993333333333,"896 West Wendover Avenue, Greensboro, NC 27408"
2020-06-12 11:44:05+00,36.0881688888889,-79.7946577777778,"501 West Wendover Avenue, Greensboro, NC 27408"
2020-06-12 11:44:34+00,36.0879088888889,-79.7903733333333,"211 West Wendover Avenue, Greensboro, NC 27408"
2020-06-12 11:44:36+00,36.0877866666667,-79.7902755555556,"218 West Wendover Avenue, Greensboro, NC 27401"
2020-06-12 11:44:39+00,36.0875288888889,-79.7902577777778,"1016 Carolina St, Greensboro, NC 27401"
2020-06-12 11:44:55+00,36.0861933333333,-79.7903555555555,"200 West Bessemer Avenue, Greensboro, NC 27401"
2020-06-12 11:44:57+00,36.0861444444444,-79.7902666666667,"192 West Bessemer Avenue, Greensboro, NC 27401"
2020-06-12 11:45:39+00,36.0860488888889,-79.7887466666667,"149 East Bessemer Avenue, Greensboro, NC 27401"
2020-06-12 11:45:45+00,36.0862244444444,-79.7885955555556,"123 East Bessemer Avenue, Greensboro, NC 27401"
2020-06-12 11:46:33+00,36.0863866666667,-79.7886933333333,"1004 N Elm St, Greensboro, NC 27401"
2020-06-12 11:46:33+00,36.0863866666667,-79.7886933333333,"1004 N Elm St, Greensboro, NC 27401"
2020-06-12 16:52:29+00,36.0863733333333,-79.7886755555556,"1004 N Elm St, Greensboro, NC 27401"
2020-06-12 16:53:54+00,36.0861622222222,-79.78952,"1001 N Elm St, Greensboro, NC 27401, USA"
2020-06-12 16:54:24+00,36.0863333333333,-79.79336,"399 Parkway Avenue, Greensboro, NC 27401"
2020-06-12 16:54:27+00,36.0864822222222,-79.7936177777778,"399 Parkway Avenue, Greensboro, NC 27401"
2020-06-12 16:54:34+00,36.0872466666667,-79.7942577777778,"444-480 Parkway Ave, Greensboro, NC 27401, USA"
2020-06-12 16:54:38+00,36.0877266666667,-79.7944444444445,"908 Cridland Rd, Greensboro, NC 27408, USA"
2020-06-12 16:55:02+00,36.0880933333333,-79.7943644444444,"930-998 Cridland Rd, Greensboro, NC 27408, USA"
2020-06-12 16:55:39+00,36.0881311111111,-79.79432,"930-998 Cridland Rd, Greensboro, NC 27408, USA"
2020-06-12 16:55:42+00,36.0882644444444,-79.79424,"495 West Wendover Avenue, Greensboro, NC 27408"
2020-06-12 16:55:44+00,36.0883555555556,-79.79432,"495 West Wendover Avenue, Greensboro, NC 27408"
2020-06-12 16:55:46+00,36.0884088888889,-79.7944977777778,"513 West Wendover Avenue, Greensboro, NC 27408"
2020-06-12 16:56:16+00,36.0886888888889,-79.7997777777778,"1101 Hill St, Greensboro, NC 27408, USA"
2020-06-12 16:56:44+00,36.0888777777778,-79.8054044444444,"1304 West Wendover Avenue, Greensboro, NC 27408"
2020-06-12 16:57:06+00,36.0881266666667,-79.8102222222222,"1567 West Wendover Avenue, Greensboro, NC 27408"
2020-06-12 16:57:36+00,36.0885533333333,-79.8176355555556,"West Wendover Avenue, Greensboro, NC 27408"
2020-06-12 16:57:53+00,36.0882488888889,-79.8217511111111,"West Wendover Avenue, Greensboro, NC 27408"
